lag,autocorrelation
0,1.000000
1,0.478921
2,0.239467
3,0.113808
4,0.050700
5,0.026130
6,0.010225
7,-0.002001
8,-0.004897
9,-0.011761
10,-0.011940
11,-0.008900
12,-0.011131
13,-0.012456
14,-0.013198
15,-0.008963
16,-0.009476
17,-0.011562
18,-0.005767
19,-0.001278
20,0.003352
21,-0.000365
22,-0.001178
23,-0.010510
24,-0.012164
25,-0.013163
26,-0.012031
27,-0.006584
28,-0.004110
29,-0.003566
30,-0.004071
31,-0.003996
32,-0.003774
33,-0.005384
34,-0.006265
35,-0.011371
36,-0.012355
37,-0.012240
38,-0.016863
39,-0.012131
40,-0.006546
41,-0.004196
42,-0.000687
43,-0.002750
44,0.000183
45,0.002097
46,0.003430
47,0.005128
48,0.001131
49,0.006612
50,0.005870
