step,state,x
0,1,0.265253
1,0,0.137626
2,3,0.750991
3,3,0.782796
4,3,0.640973
5,3,0.674538
6,3,0.735530
7,4,0.909509
8,4,0.913025
9,4,0.973664
10,1,0.388304
11,0,0.111138
12,3,0.710295
13,3,0.655200
14,3,0.735407
15,3,0.777350
16,3,0.769140
17,3,0.698558
18,2,0.528119
19,1,0.246606
20,1,0.379280
21,3,0.692685
22,3,0.777139
23,3,0.614361
24,3,0.788735
25,3,0.668070
26,3,0.624296
27,1,0.256302
28,1,0.393069
29,1,0.383909
30,1,0.265476
31,4,0.868872
32,3,0.650830
33,3,0.767017
34,3,0.752078
35,3,0.608142
36,3,0.616636
37,2,0.544892
38,2,0.492453
39,2,0.456424
40,2,0.487161
41,2,0.539454
42,4,0.881279
43,4,0.844827
44,3,0.718080
45,0,0.158936
46,0,0.181392
47,0,0.019550
48,4,0.925347
49,4,0.940299
50,2,0.506972
51,2,0.586523
52,2,0.505204
53,2,0.463280
54,2,0.548239
55,2,0.561124
56,2,0.444704
57,1,0.328311
58,1,0.303922
59,1,0.361409
60,0,0.128702
61,0,0.077092
62,0,0.133345
63,0,0.059451
64,0,0.139660
65,0,0.090021
66,0,0.079892
67,0,0.135729
68,0,0.179106
69,0,0.178786
70,0,0.015751
71,0,0.182902
72,1,0.270022
73,4,0.962618
74,2,0.487129
75,0,0.123536
76,0,0.029048
77,0,0.011960
78,0,0.127220
79,2,0.505418
80,2,0.431991
81,2,0.407759
82,2,0.552103
83,2,0.402510
84,2,0.478924
85,2,0.533025
86,0,0.084661
87,0,0.174319
88,0,0.102956
89,2,0.593243
90,2,0.551862
91,2,0.591929
92,2,0.555302
93,3,0.609912
94,3,0.778178
95,4,0.959538
96,4,0.826534
97,4,0.803887
98,4,0.851343
99,4,0.889021
100,4,0.863168
101,4,0.891516
102,3,0.791481
103,4,0.960426
104,3,0.761511
105,3,0.723076
106,3,0.743958
107,3,0.744776
108,3,0.789270
109,1,0.327016
110,1,0.361220
111,1,0.392795
112,1,0.299024
113,1,0.369102
114,1,0.330121
115,1,0.344000
116,1,0.398947
117,3,0.686750
118,1,0.241492
119,4,0.817167
120,4,0.895535
121,4,0.919868
122,4,0.954276
123,4,0.882046
124,1,0.247157
125,2,0.587091
126,3,0.648587
127,3,0.750233
128,3,0.660149
129,4,0.879028
130,3,0.677455
131,3,0.699104
132,3,0.674447
133,4,0.913840
134,4,0.809535
135,4,0.899175
136,4,0.836765
137,2,0.548549
138,2,0.580727
139,2,0.481798
140,4,0.821959
141,3,0.738236
142,3,0.661452
143,4,0.947167
144,4,0.864170
145,4,0.928757
146,4,0.978116
147,4,0.979072
148,3,0.637870
149,3,0.743235
150,0,0.063001
151,4,0.946174
152,4,0.908229
153,4,0.895297
154,4,0.891228
155,0,0.053036
156,0,0.122185
157,0,0.054104
158,1,0.260256
159,3,0.669989
160,4,0.861037
161,4,0.918471
162,4,0.995889
163,4,0.907438
164,0,0.024413
165,0,0.092646
166,0,0.013713
167,3,0.790738
168,3,0.774158
169,3,0.603003
170,1,0.372676
171,3,0.683053
172,0,0.018999
173,0,0.021704
174,0,0.149270
175,0,0.157255
176,0,0.186531
177,0,0.072038
178,3,0.754783
179,3,0.791268
180,3,0.742867
181,3,0.675691
182,3,0.693463
183,3,0.636141
184,4,0.933007
185,0,0.040114
186,2,0.571300
187,0,0.142895
188,0,0.141578
189,0,0.100943
190,4,0.851170
191,4,0.835753
192,4,0.873897
193,3,0.627190
194,3,0.689254
195,3,0.754600
196,3,0.794873
197,1,0.208914
198,1,0.287944
199,1,0.371115
200,0,0.039565
201,0,0.165195
202,1,0.285281
203,1,0.299358
204,1,0.218241
205,1,0.324188
206,3,0.757198
207,3,0.644559
208,3,0.735373
209,1,0.286392
210,1,0.303186
211,1,0.207054
212,1,0.253871
