step,state,x
0,4,0.825268
1,4,0.816392
2,0,0.095488
3,3,0.689196
4,1,0.336849
5,1,0.277844
6,3,0.629086
7,3,0.635049
8,4,0.976040
9,4,0.962054
10,4,0.895502
11,4,0.822105
12,4,0.961041
13,4,0.860428
14,4,0.805649
15,4,0.989765
16,4,0.850537
17,4,0.939438
18,4,0.835331
19,4,0.842999
20,2,0.515462
21,2,0.517742
22,1,0.205190
23,1,0.225737
24,1,0.295066
25,2,0.576368
26,2,0.415875
27,4,0.906583
28,3,0.725379
29,0,0.057331
30,0,0.194142
31,0,0.022228
32,3,0.752502
33,2,0.408872
34,2,0.529034
35,4,0.957301
36,4,0.950666
37,2,0.548909
38,3,0.764653
39,3,0.664966
40,2,0.527002
41,1,0.385066
42,1,0.282189
43,1,0.338548
44,1,0.342656
45,2,0.579820
46,3,0.708616
47,3,0.706352
48,3,0.627912
49,3,0.629424
50,1,0.256008
51,3,0.709974
52,2,0.529171
53,2,0.454711
54,4,0.956776
55,4,0.992829
56,4,0.982713
57,3,0.613083
58,3,0.658920
59,3,0.690455
60,4,0.985508
61,1,0.376139
62,1,0.288565
63,3,0.697558
64,3,0.656325
65,3,0.627437
66,0,0.108146
67,0,0.156819
68,1,0.294779
69,1,0.292453
70,1,0.351280
71,1,0.203607
72,0,0.034616
73,0,0.052710
74,4,0.814225
75,4,0.857808
76,4,0.851277
77,0,0.015987
78,2,0.418516
79,3,0.787906
80,3,0.689604
81,3,0.633012
82,3,0.624233
83,3,0.797328
84,2,0.490747
85,3,0.708400
86,4,0.953887
87,0,0.033653
88,2,0.472737
89,2,0.553613
90,2,0.425429
91,2,0.560740
92,4,0.987303
93,1,0.310793
94,3,0.719508
95,0,0.114714
96,1,0.350606
97,1,0.242870
98,0,0.078433
99,0,0.001020
100,1,0.310653
101,4,0.860200
102,2,0.514057
103,2,0.451129
104,2,0.582534
105,2,0.537451
106,2,0.416383
107,0,0.032422
108,0,0.090568
109,0,0.049427
110,1,0.207031
111,1,0.220486
112,4,0.975169
113,2,0.549533
114,2,0.550126
115,2,0.502324
116,3,0.687599
117,0,0.043628
118,3,0.660586
119,1,0.287294
120,1,0.239595
121,1,0.272056
122,4,0.830979
123,4,0.801404
124,0,0.093851
125,0,0.145259
126,4,0.821229
127,2,0.473682
128,3,0.746005
129,0,0.073968
130,0,0.166473
131,0,0.046540
132,4,0.886041
133,4,0.991359
134,2,0.563839
135,2,0.461818
136,2,0.581622
137,2,0.469625
138,4,0.917862
139,4,0.930204
140,4,0.800413
141,4,0.928413
142,0,0.197163
143,0,0.072643
144,4,0.871008
145,4,0.879112
146,2,0.595192
147,2,0.436770
148,0,0.197438
149,0,0.011032
150,0,0.125832
151,2,0.541318
152,3,0.732908
153,3,0.648972
154,3,0.609891
155,3,0.761544
156,2,0.477268
157,2,0.554055
158,2,0.403584
159,2,0.576509
160,2,0.532993
161,2,0.562381
162,2,0.516278
163,2,0.562740
164,1,0.209920
165,0,0.126888
166,0,0.034616
167,0,0.005358
168,4,0.988425
169,0,0.052983
170,2,0.465221
171,0,0.147957
172,3,0.685555
173,3,0.793685
174,0,0.171897
175,4,0.937428
176,0,0.142399
177,0,0.003822
178,3,0.619319
179,0,0.198672
180,0,0.066108
181,0,0.120125
182,0,0.017362
183,0,0.060335
184,1,0.228654
185,1,0.300587
186,4,0.916933
187,4,0.973363
188,4,0.964407
189,4,0.912227
190,4,0.927458
191,0,0.073399
192,4,0.808057
193,4,0.888638
194,4,0.879489
195,4,0.870628
196,4,0.970585
197,2,0.532087
198,1,0.369937
199,1,0.387978
200,2,0.571648
201,4,0.832492
202,4,0.919270
203,2,0.563080
204,2,0.429915
205,0,0.080687
206,1,0.312159
207,2,0.593607
208,2,0.501212
209,2,0.589878
210,2,0.580541
211,4,0.891945
212,4,0.928645
213,4,0.974335
214,4,0.951527
215,2,0.415400
216,3,0.649038
217,4,0.959411
218,0,0.047319
219,1,0.323743
220,1,0.240409
221,3,0.788318
222,4,0.807637
223,2,0.468439
224,2,0.586077
225,0,0.079100
226,1,0.287770
227,4,0.863167
228,4,0.819834
229,3,0.703579
230,4,0.889181
231,2,0.467938
232,2,0.596747
233,4,0.990552
234,4,0.895559
235,4,0.806383
236,2,0.525926
237,2,0.470507
238,2,0.574207
239,4,0.802635
240,4,0.918782
241,0,0.194341
242,0,0.147691
243,2,0.459872
244,2,0.524714
245,1,0.394581
246,1,0.362434
247,1,0.399969
248,3,0.738367
249,3,0.618440
250,1,0.305381
251,1,0.298571
252,1,0.224875
253,1,0.370637
254,2,0.515259
255,2,0.455415
256,2,0.508226
257,2,0.513945
258,4,0.973555
259,4,0.848872
260,4,0.975898
261,4,0.859042
262,4,0.871811
263,3,0.666040
264,3,0.666553
265,3,0.733918
266,3,0.696567
267,3,0.619425
268,3,0.716988
269,2,0.410723
270,2,0.418625
271,2,0.400614
272,4,0.939390
273,4,0.915046
274,1,0.349912
275,0,0.004873
276,0,0.065759
277,0,0.158136
278,4,0.931773
279,3,0.692492
280,3,0.611913
281,3,0.632148
282,0,0.095535
283,0,0.037574
284,0,0.048688
285,0,0.103982
286,0,0.159192
287,0,0.049715
288,0,0.115751
289,3,0.716788
290,3,0.646199
291,3,0.680625
292,3,0.655158
293,3,0.796647
294,3,0.713104
295,0,0.010855
296,3,0.642859
297,0,0.047122
298,0,0.119543
299,1,0.385228
300,4,0.995713
301,4,0.915812
302,4,0.937150
303,4,0.985738
304,1,0.229345
305,1,0.363834
306,2,0.451212
307,4,0.838823
308,4,0.857677
309,4,0.949782
310,3,0.700928
311,3,0.728139
312,3,0.623884
313,2,0.583218
314,2,0.456285
315,1,0.242975
316,1,0.263960
317,1,0.272153
318,1,0.342644
319,1,0.210561
320,1,0.336135
321,1,0.311513
322,4,0.833380
323,4,0.880009
324,4,0.822498
325,1,0.287297
326,1,0.289288
327,1,0.328946
328,4,0.915087
329,4,0.814471
330,4,0.920694
331,2,0.457440
332,2,0.414537
333,1,0.301172
334,1,0.285108
335,3,0.631137
336,0,0.081736
337,4,0.943439
338,0,0.068305
339,0,0.131281
340,3,0.715547
341,3,0.738733
342,3,0.699928
343,3,0.615439
344,3,0.723146
345,3,0.738020
346,2,0.465797
347,2,0.530604
348,2,0.400684
349,0,0.129129
350,0,0.017774
351,0,0.011623
352,0,0.198898
353,1,0.224414
354,1,0.309677
355,1,0.325264
356,1,0.204814
357,0,0.154348
358,0,0.096360
359,1,0.325927
360,1,0.210407
361,1,0.337473
362,2,0.413108
363,2,0.557826
364,1,0.355961
365,1,0.296136
366,3,0.757667
367,3,0.623340
368,3,0.726573
369,3,0.603460
370,2,0.597780
371,0,0.025149
372,0,0.006977
373,0,0.015357
374,0,0.018693
375,0,0.190672
376,0,0.069212
377,0,0.034390
378,2,0.482830
379,2,0.511353
380,2,0.509828
381,3,0.668144
382,1,0.303222
383,1,0.270207
384,1,0.266220
385,1,0.213670
386,1,0.297218
387,1,0.270167
388,1,0.295166
389,1,0.389700
390,2,0.506307
391,2,0.404071
392,2,0.417958
393,0,0.136292
394,0,0.191378
395,0,0.098393
396,0,0.052981
397,1,0.270012
398,1,0.356773
399,3,0.739667
400,3,0.612681
401,0,0.191096
402,1,0.314772
403,4,0.918592
404,2,0.510861
405,2,0.489500
406,4,0.926095
407,4,0.814771
408,3,0.708222
409,3,0.602660
410,0,0.089695
411,3,0.634905
412,3,0.650355
413,3,0.790584
414,4,0.947873
415,4,0.976402
416,3,0.780668
417,1,0.221336
418,1,0.357596
419,1,0.349016
420,4,0.989021
421,2,0.406887
422,2,0.521855
423,2,0.541670
424,2,0.558729
425,2,0.426626
426,2,0.564211
427,4,0.932367
428,2,0.499538
429,3,0.607694
430,3,0.721082
431,3,0.686527
432,0,0.190848
433,1,0.237729
434,1,0.252845
435,2,0.409730
436,2,0.592992
437,3,0.620638
438,3,0.684307
439,3,0.717511
440,3,0.738661
441,3,0.636231
442,4,0.986749
443,4,0.856922
444,4,0.806845
445,4,0.860013
446,4,0.952146
447,4,0.840743
448,1,0.344355
449,1,0.352395
450,1,0.337575
451,1,0.361218
452,2,0.408995
453,2,0.406792
454,0,0.077468
455,3,0.698785
456,1,0.377981
457,1,0.210834
458,1,0.328827
459,1,0.314637
460,3,0.752067
461,0,0.044096
462,0,0.190673
463,0,0.175016
464,4,0.871748
465,4,0.886868
466,2,0.587718
467,2,0.481648
468,0,0.054215
469,2,0.545927
470,2,0.448787
471,4,0.990366
472,4,0.952089
473,0,0.002378
474,1,0.380452
475,1,0.296597
476,1,0.328500
477,1,0.344516
478,0,0.084274
479,0,0.119734
480,0,0.023008
481,0,0.177951
482,4,0.811392
483,2,0.434841
484,2,0.400350
485,2,0.507369
486,2,0.521956
487,2,0.588580
488,4,0.813245
489,4,0.804711
490,2,0.504140
491,4,0.926843
492,4,0.823997
493,2,0.464109
494,4,0.936525
495,0,0.063733
496,4,0.823459
497,0,0.161511
498,0,0.063767
499,0,0.156394
