step,state,x
0,0,0.009367
1,0,0.094094
2,0,0.018744
3,0,0.170783
4,0,0.001863
5,0,0.036899
6,0,0.132272
7,1,0.313693
8,0,0.075786
9,0,0.122768
10,0,0.072581
11,4,0.979189
12,4,0.930878
13,4,0.920790
14,1,0.246176
15,0,0.058765
16,0,0.084048
17,0,0.060257
18,2,0.410062
19,2,0.597292
20,2,0.469733
21,3,0.713573
22,3,0.657859
23,3,0.760818
24,0,0.170778
25,3,0.733991
26,1,0.302696
27,3,0.660939
28,4,0.886098
29,4,0.853806
30,2,0.483277
31,2,0.445743
32,3,0.794199
33,3,0.734721
34,3,0.676745
35,4,0.933049
36,2,0.465523
37,2,0.587474
38,0,0.061078
39,0,0.137097
40,2,0.554782
41,1,0.230017
42,1,0.381691
43,1,0.220662
44,1,0.290611
45,4,0.984138
46,4,0.934072
47,4,0.938915
48,0,0.172225
49,3,0.755574
50,0,0.120748
51,3,0.798046
52,1,0.323067
53,0,0.171884
54,0,0.103209
55,0,0.199639
56,0,0.058596
57,0,0.198800
58,1,0.388227
59,2,0.554639
60,0,0.062487
61,0,0.058284
62,0,0.067246
63,0,0.064404
64,0,0.095432
65,2,0.431115
66,2,0.443003
67,2,0.599063
68,2,0.511717
69,4,0.804668
70,4,0.932600
71,2,0.520583
72,2,0.564853
73,2,0.455607
74,2,0.427989
75,3,0.744050
76,1,0.317631
77,0,0.172399
78,0,0.007241
79,0,0.061545
80,4,0.975691
81,0,0.183983
82,4,0.820881
83,4,0.944184
84,1,0.372072
85,2,0.535730
86,2,0.579608
87,3,0.735142
88,3,0.745065
89,0,0.018933
90,0,0.088822
91,0,0.127973
92,0,0.188776
93,0,0.190857
94,0,0.045588
95,0,0.197444
96,4,0.992577
97,4,0.917951
98,2,0.583184
99,2,0.542927
100,2,0.495291
101,1,0.248019
102,3,0.779752
103,2,0.464026
104,2,0.524175
105,2,0.484115
106,4,0.987489
107,1,0.306756
108,3,0.768730
109,2,0.442760
110,3,0.713410
111,0,0.063145
112,3,0.686831
113,3,0.629083
114,3,0.780853
115,3,0.615497
116,3,0.641570
117,3,0.617016
118,4,0.837846
119,4,0.989717
120,4,0.823025
121,4,0.860328
122,4,0.981846
123,0,0.073004
124,4,0.823071
125,4,0.905988
126,4,0.959153
127,1,0.361323
128,1,0.292328
129,1,0.203332
130,1,0.330119
131,1,0.246589
132,3,0.748924
133,1,0.313694
134,1,0.218195
135,3,0.739064
136,0,0.122487
137,3,0.777575
138,1,0.288572
139,3,0.768838
140,3,0.614626
141,3,0.771810
142,3,0.773933
143,1,0.228990
144,3,0.715574
145,4,0.897997
146,4,0.999827
147,0,0.177922
148,1,0.326792
149,1,0.284788
150,1,0.221083
151,2,0.541116
152,2,0.523089
153,2,0.577534
154,2,0.555982
155,2,0.566675
156,2,0.474538
157,1,0.344917
158,4,0.983884
159,4,0.841035
160,4,0.971048
161,4,0.817763
162,1,0.287583
163,3,0.710183
164,1,0.369305
165,0,0.146485
166,1,0.318233
167,4,0.920546
168,0,0.028663
169,3,0.702512
170,1,0.223835
171,1,0.387360
172,3,0.789483
173,0,0.074667
174,2,0.485710
175,2,0.534731
176,2,0.405516
177,2,0.430313
178,0,0.199282
179,0,0.008535
180,0,0.054022
181,0,0.031851
182,0,0.078204
183,1,0.394270
184,0,0.020448
185,0,0.150204
186,0,0.105967
187,0,0.116590
188,0,0.052949
189,3,0.793178
190,4,0.995754
191,3,0.661379
192,3,0.668471
193,3,0.798663
194,4,0.801699
195,4,0.906814
196,4,0.907240
197,4,0.807450
198,4,0.929767
199,4,0.850929
200,4,0.922483
201,4,0.951237
202,0,0.017806
203,0,0.069827
204,0,0.005236
205,0,0.130354
206,0,0.104558
207,2,0.402751
208,2,0.570948
209,2,0.533467
210,4,0.973199
211,4,0.820191
212,2,0.442421
213,4,0.811491
214,4,0.830033
215,4,0.853527
216,0,0.094734
217,0,0.113898
218,0,0.053533
219,2,0.524767
220,2,0.464114
221,3,0.726326
222,3,0.692739
223,3,0.725235
224,3,0.703677
225,3,0.636526
226,4,0.950999
227,4,0.901519
228,4,0.949791
229,2,0.406152
230,3,0.628292
