step,state,x
0,2,0.546727
1,3,0.624208
2,2,0.568838
3,3,0.788380
4,0,0.095967
5,3,0.743297
6,4,0.820265
7,1,0.222158
8,0,0.058108
9,1,0.343039
10,4,0.929866
11,0,0.179925
12,1,0.218971
13,0,0.073872
14,2,0.488867
15,4,0.887931
16,0,0.081002
17,1,0.239592
18,2,0.526197
19,1,0.207357
20,4,0.853208
21,0,0.048931
22,4,0.847243
23,0,0.094785
24,4,0.904616
25,3,0.758385
26,0,0.053968
27,3,0.601251
28,2,0.431641
29,0,0.025352
30,4,0.987187
31,1,0.312204
32,3,0.670006
33,2,0.501478
34,4,0.881244
35,1,0.392653
36,4,0.921092
37,3,0.635741
38,1,0.287613
39,2,0.546830
40,4,0.941218
41,1,0.346815
42,3,0.738217
43,1,0.327306
44,0,0.133414
45,2,0.509848
46,4,0.873095
47,2,0.557417
48,3,0.720750
49,2,0.475525
50,3,0.605240
51,4,0.930610
52,3,0.618192
53,1,0.272835
54,3,0.610432
55,2,0.597578
56,1,0.387951
57,3,0.774478
58,2,0.435483
59,4,0.997532
60,1,0.240410
61,4,0.951352
62,2,0.440071
63,0,0.182975
64,2,0.491119
65,3,0.622679
66,4,0.913838
67,3,0.638629
68,0,0.071423
69,4,0.924929
70,3,0.670724
71,4,0.913927
72,3,0.733842
73,1,0.393241
74,3,0.733976
75,1,0.264874
76,0,0.188412
77,4,0.851813
78,2,0.571976
79,1,0.212088
80,4,0.916691
81,1,0.318653
82,2,0.432872
83,0,0.102555
84,4,0.836461
85,2,0.537137
86,4,0.820385
87,3,0.785778
88,0,0.081393
89,3,0.703743
90,0,0.199422
91,1,0.387294
92,3,0.716639
93,2,0.532099
94,3,0.616009
95,1,0.399066
96,3,0.631214
97,0,0.137397
98,1,0.267568
99,3,0.610428
100,4,0.803088
101,1,0.383168
102,0,0.021895
103,1,0.257877
104,0,0.136536
105,2,0.495246
106,4,0.822849
107,1,0.265512
108,2,0.526301
109,1,0.238983
110,0,0.021428
111,4,0.854326
112,3,0.660089
113,1,0.394093
114,2,0.572772
115,3,0.711097
116,0,0.181248
117,2,0.594978
118,0,0.151550
119,3,0.733574
120,2,0.446025
121,4,0.946173
122,2,0.547471
123,3,0.768866
124,2,0.458639
125,3,0.617228
126,4,0.987262
127,0,0.163630
128,1,0.246959
129,3,0.663243
130,0,0.095098
131,2,0.459598
132,1,0.247910
133,4,0.838918
134,1,0.333116
135,4,0.908975
136,0,0.192648
137,2,0.541919
138,3,0.609147
139,1,0.370112
140,0,0.192970
141,3,0.731086
142,1,0.276168
143,2,0.448592
144,4,0.898072
145,2,0.438329
146,4,0.823042
147,0,0.001812
148,1,0.210757
149,3,0.760446
150,2,0.507732
151,0,0.119198
152,4,0.828432
153,3,0.703481
154,0,0.160273
155,1,0.379288
156,3,0.687930
157,2,0.443220
158,3,0.650739
159,1,0.317079
160,4,0.857161
161,1,0.322720
162,4,0.862669
163,0,0.039843
164,2,0.453980
165,0,0.062736
166,2,0.506191
167,1,0.357622
168,4,0.805679
169,1,0.277875
170,4,0.807583
171,1,0.351690
172,0,0.070401
173,3,0.619785
174,2,0.584316
175,4,0.951926
176,0,0.136197
177,3,0.731632
178,0,0.048293
179,1,0.379555
180,3,0.610666
181,1,0.374603
182,0,0.154968
183,3,0.767042
184,0,0.088951
185,2,0.406495
186,3,0.656501
187,0,0.170928
188,2,0.537855
189,1,0.323115
190,3,0.763271
191,2,0.468066
192,3,0.742226
193,4,0.826144
194,0,0.124059
195,3,0.713819
196,0,0.180609
197,4,0.840744
198,0,0.107200
199,4,0.903686
200,1,0.256905
201,4,0.830997
202,1,0.319720
203,3,0.683162
204,2,0.438232
205,1,0.300765
206,2,0.437077
207,0,0.059699
208,2,0.534859
209,3,0.679389
210,4,0.888273
211,1,0.287416
212,4,0.985194
213,3,0.609296
214,1,0.394177
215,0,0.008842
216,2,0.476501
217,3,0.665837
218,1,0.281183
219,3,0.606323
220,2,0.444362
221,3,0.642814
222,0,0.188412
223,4,0.952920
224,1,0.249198
225,0,0.051446
226,3,0.782462
227,4,0.911465
228,1,0.327253
229,4,0.997848
230,2,0.410700
231,1,0.301804
232,0,0.126094
233,3,0.776420
234,4,0.935275
235,3,0.723431
236,4,0.907455
237,3,0.728889
238,0,0.061155
239,3,0.627587
240,2,0.520273
241,3,0.726137
242,2,0.540667
243,3,0.773064
244,1,0.214433
245,2,0.491378
246,0,0.092431
247,2,0.474375
248,4,0.960601
249,1,0.335488
250,0,0.091749
251,3,0.759179
252,0,0.060258
253,1,0.297370
254,2,0.552168
255,4,0.823897
256,2,0.477105
257,1,0.370197
258,4,0.886853
259,3,0.645016
260,1,0.332234
261,2,0.437680
262,0,0.013694
263,1,0.345854
264,4,0.851016
265,1,0.382697
266,4,0.834763
267,0,0.142757
268,3,0.611106
269,2,0.439074
270,3,0.680851
271,4,0.927938
272,1,0.255422
273,4,0.879626
274,3,0.694411
275,4,0.836922
276,3,0.727496
277,2,0.405229
278,3,0.732279
279,2,0.552531
280,3,0.735284
281,0,0.111333
282,1,0.202002
283,3,0.604816
284,0,0.118166
285,3,0.671960
286,1,0.312941
287,2,0.587197
288,1,0.351579
289,4,0.805587
290,3,0.742190
291,0,0.114118
292,3,0.720759
293,0,0.075527
294,3,0.756724
295,0,0.118829
296,3,0.719565
297,4,0.849635
298,3,0.629078
299,4,0.954433
300,2,0.564050
301,3,0.719392
302,1,0.259208
303,3,0.785882
304,4,0.896194
305,3,0.653902
306,4,0.983408
307,3,0.778939
308,1,0.343809
309,3,0.702665
310,2,0.458001
311,4,0.937892
312,2,0.432236
313,3,0.608234
314,0,0.166260
315,3,0.766087
316,1,0.384292
317,0,0.152766
318,3,0.732085
319,2,0.599946
320,4,0.977859
321,2,0.412191
322,4,0.883328
323,1,0.385066
324,2,0.478218
325,4,0.830255
326,0,0.042151
327,1,0.299048
328,3,0.666362
329,1,0.275172
330,4,0.819966
331,2,0.539174
332,1,0.371413
333,2,0.553145
334,4,0.863768
335,0,0.025801
336,1,0.330867
337,3,0.638175
338,1,0.307046
339,0,0.114545
340,1,0.273808
341,3,0.696480
342,4,0.817697
343,2,0.576138
344,3,0.630355
345,4,0.864056
346,1,0.282959
347,0,0.147453
348,1,0.296270
349,0,0.070955
350,2,0.502536
351,3,0.790292
352,1,0.387116
353,2,0.470646
354,1,0.368493
355,0,0.143790
356,1,0.271161
357,2,0.583395
358,4,0.849474
359,0,0.137449
360,2,0.413404
361,4,0.875220
362,1,0.237708
363,2,0.586517
364,3,0.713479
365,1,0.374336
366,0,0.005296
367,3,0.783313
368,2,0.455571
369,3,0.610936
370,4,0.806042
371,0,0.166752
372,2,0.480633
373,0,0.160871
374,2,0.510614
375,0,0.048890
376,2,0.426571
377,3,0.687480
378,2,0.476976
379,4,0.854252
380,2,0.526663
381,1,0.288692
382,2,0.491157
383,4,0.916944
384,0,0.140696
385,4,0.912639
386,0,0.001281
387,3,0.729814
388,0,0.172223
389,2,0.495909
390,0,0.153216
391,3,0.699201
392,1,0.374249
393,2,0.544182
394,3,0.643683
395,2,0.589951
396,3,0.791499
397,4,0.816130
398,2,0.466842
399,1,0.325370
400,0,0.048269
401,4,0.915775
402,0,0.103577
403,3,0.796822
404,2,0.426956
405,3,0.651548
406,0,0.063858
407,3,0.724339
408,0,0.190099
409,3,0.704973
410,0,0.026934
411,4,0.951526
412,3,0.675358
413,1,0.345158
414,3,0.783479
415,2,0.507258
416,4,0.893509
417,3,0.674665
418,0,0.023379
419,3,0.775388
420,0,0.150560
421,1,0.228540
422,2,0.422453
423,3,0.762786
424,4,0.926892
425,3,0.682743
426,1,0.293758
427,4,0.970288
428,1,0.229245
429,3,0.785487
430,1,0.214765
431,3,0.688035
432,2,0.510371
433,4,0.954213
434,0,0.015358
435,3,0.615224
436,4,0.921478
437,1,0.210812
438,0,0.162631
439,1,0.214667
440,4,0.803286
441,2,0.428274
442,4,0.980159
443,0,0.003118
444,1,0.302779
445,3,0.731257
446,2,0.498888
447,4,0.895407
448,1,0.220014
449,4,0.905966
450,1,0.350483
451,2,0.522753
452,0,0.001927
453,4,0.859029
454,1,0.217129
455,2,0.592530
456,3,0.776593
457,2,0.412439
458,4,0.923869
459,3,0.746243
460,4,0.814854
461,3,0.756749
462,1,0.241103
463,0,0.109829
464,2,0.404031
465,0,0.005239
466,4,0.836981
467,2,0.473154
468,4,0.936287
469,2,0.403437
470,1,0.285066
471,2,0.434982
472,0,0.171073
473,4,0.855150
474,1,0.268504
475,3,0.751594
476,4,0.967788
477,2,0.421105
478,4,0.838585
479,3,0.646421
480,0,0.121081
481,1,0.248562
482,2,0.412543
483,0,0.022857
484,1,0.233347
485,3,0.641772
486,0,0.181127
487,3,0.670378
488,0,0.094895
489,4,0.817873
490,3,0.654697
491,4,0.905314
492,3,0.639206
493,4,0.938205
494,1,0.254885
495,2,0.422507
496,1,0.277683
497,0,0.199851
498,2,0.554423
499,1,0.368013
