step,state,x
0,2,0.567299
1,0,0.022986
2,2,0.489878
3,4,0.801439
4,2,0.522391
5,4,0.869370
6,1,0.370803
7,3,0.621567
8,2,0.502139
9,0,0.037544
10,2,0.437586
11,3,0.735482
12,1,0.228024
13,2,0.464892
14,0,0.009724
15,1,0.324140
16,0,0.145620
17,3,0.788034
18,1,0.302479
19,2,0.494615
20,0,0.076417
21,3,0.728948
22,4,0.979157
23,2,0.563965
24,3,0.622448
25,1,0.382937
26,0,0.027473
27,2,0.477130
28,1,0.207609
29,3,0.713706
30,0,0.153612
31,4,0.991966
32,1,0.226070
33,3,0.682160
34,2,0.516307
35,1,0.306072
36,4,0.868017
37,1,0.313079
38,3,0.782846
39,4,0.936082
40,2,0.425002
41,1,0.224912
42,0,0.175197
43,3,0.684548
44,4,0.969254
45,3,0.601959
46,0,0.198739
47,4,0.823774
48,1,0.213854
49,0,0.013781
50,2,0.444175
51,4,0.899899
52,2,0.499610
53,4,0.952216
54,0,0.199940
55,3,0.723919
56,4,0.860140
57,2,0.402379
58,1,0.308245
59,4,0.867828
60,0,0.183586
61,2,0.419529
62,4,0.815696
63,0,0.031676
64,4,0.831199
65,3,0.736817
66,0,0.037305
67,4,0.827135
68,2,0.497454
69,0,0.108223
70,1,0.307615
71,4,0.831502
72,1,0.376530
73,3,0.653587
74,4,0.942011
75,3,0.763424
76,4,0.941689
77,1,0.300279
78,2,0.474725
79,4,0.805072
80,2,0.591707
81,0,0.059007
82,1,0.212170
83,0,0.197803
84,1,0.283922
85,4,0.921979
86,0,0.090975
87,2,0.589453
88,3,0.753819
89,2,0.418301
90,4,0.802821
91,2,0.495579
92,3,0.600704
93,4,0.969178
94,3,0.710194
95,2,0.475026
96,3,0.703901
97,4,0.821069
98,3,0.787516
99,2,0.550507
100,1,0.384773
101,4,0.829221
102,2,0.479285
103,0,0.084618
104,2,0.413436
105,4,0.961077
106,3,0.670417
107,1,0.273587
108,3,0.791292
109,1,0.356865
110,0,0.187392
111,2,0.531560
112,0,0.143679
113,3,0.607735
114,0,0.109868
115,4,0.896843
116,1,0.343492
117,0,0.147825
118,4,0.967527
119,1,0.242387
120,4,0.876983
121,3,0.649250
122,4,0.874295
123,2,0.583526
124,0,0.189498
125,4,0.953729
126,0,0.005929
127,2,0.468486
128,0,0.060469
129,3,0.699097
130,0,0.101088
131,3,0.664420
132,4,0.990588
133,3,0.753950
134,2,0.426902
135,0,0.168296
136,2,0.469221
137,4,0.876712
138,0,0.125829
139,4,0.932568
140,2,0.588673
141,1,0.282421
142,4,0.811729
143,3,0.722013
144,1,0.369626
145,0,0.143773
146,1,0.316072
147,3,0.739035
148,1,0.377068
149,3,0.750395
150,2,0.511387
151,0,0.187130
152,4,0.872921
153,3,0.609342
154,0,0.138192
155,1,0.227560
156,3,0.674806
157,1,0.284923
158,4,0.805070
159,2,0.497827
160,4,0.928912
161,1,0.215561
162,0,0.004371
163,1,0.367482
164,0,0.128493
165,2,0.537611
166,0,0.127080
167,2,0.441367
168,1,0.365906
169,2,0.589218
170,0,0.010254
171,4,0.959237
172,3,0.746686
173,1,0.225601
174,0,0.068529
175,4,0.845930
176,1,0.350379
177,4,0.930359
178,0,0.088292
179,2,0.403660
180,1,0.278827
181,4,0.903261
182,3,0.668612
183,4,0.895113
184,1,0.336719
185,2,0.488819
186,1,0.323783
187,0,0.109913
188,2,0.478228
189,0,0.134841
190,2,0.505033
191,0,0.133973
192,1,0.237462
193,0,0.155290
194,1,0.344850
195,2,0.542958
196,3,0.772564
197,0,0.121680
198,3,0.758475
199,1,0.353467
200,3,0.607248
201,1,0.299561
202,0,0.073003
203,4,0.830199
204,0,0.110254
205,4,0.801060
206,0,0.172611
207,4,0.954435
208,0,0.073432
209,3,0.776646
210,2,0.590324
211,4,0.916015
212,3,0.794322
213,0,0.134041
214,2,0.526088
215,3,0.788539
216,2,0.516265
217,4,0.930228
218,3,0.758718
219,4,0.883102
220,3,0.633361
221,2,0.546036
222,4,0.813722
223,3,0.763907
224,1,0.271025
225,3,0.611484
226,2,0.463444
227,3,0.609435
228,1,0.374534
229,3,0.607130
230,4,0.997870
231,0,0.153597
232,4,0.835045
233,1,0.355623
234,0,0.151751
235,4,0.968268
236,3,0.745560
237,1,0.257167
238,0,0.079217
239,1,0.272107
240,2,0.458076
241,4,0.805733
242,2,0.437710
243,0,0.110465
244,2,0.565711
245,4,0.953439
246,1,0.266012
247,3,0.601283
248,2,0.591079
249,4,0.888104
250,3,0.604959
251,2,0.570887
252,1,0.379875
253,4,0.993131
254,0,0.097135
255,2,0.513652
256,0,0.016266
257,3,0.646805
258,1,0.389503
259,2,0.461475
260,4,0.900606
261,0,0.018626
262,2,0.556668
263,1,0.214319
264,2,0.476132
265,1,0.277439
266,0,0.193538
267,4,0.825811
268,0,0.197379
269,4,0.937703
270,0,0.081546
271,3,0.767446
272,2,0.402336
273,1,0.331442
274,0,0.167092
275,1,0.245835
276,0,0.018996
277,1,0.220712
278,3,0.791891
279,2,0.443944
280,4,0.997211
281,2,0.405218
282,1,0.203456
283,0,0.061810
284,1,0.260865
285,4,0.972017
286,2,0.501277
287,3,0.657809
288,4,0.806309
289,2,0.432953
290,0,0.036454
291,4,0.817300
292,3,0.694425
293,1,0.277740
294,3,0.651501
295,1,0.349855
296,3,0.611887
297,1,0.379039
298,0,0.163870
299,4,0.938929
300,2,0.496713
301,0,0.026222
302,4,0.895170
303,0,0.108444
304,1,0.208545
305,3,0.730068
306,0,0.018306
307,1,0.347357
308,4,0.895791
309,2,0.531690
310,1,0.266423
311,4,0.844520
312,3,0.779479
313,1,0.278061
314,0,0.106274
315,2,0.587933
316,0,0.030939
317,2,0.558307
318,1,0.386438
319,2,0.422584
320,4,0.801041
321,1,0.299293
322,4,0.858202
323,1,0.279411
324,2,0.529511
325,3,0.732074
326,1,0.361364
327,2,0.479124
328,3,0.636440
329,0,0.196680
330,3,0.697653
331,4,0.893406
332,0,0.024329
333,3,0.602232
334,0,0.072124
335,3,0.777214
336,1,0.379120
337,0,0.086373
338,1,0.364750
339,4,0.987302
340,1,0.351636
341,2,0.540398
342,3,0.763239
343,2,0.480146
344,0,0.185005
345,3,0.695891
346,4,0.809272
347,1,0.346734
348,3,0.769389
349,2,0.520397
350,1,0.320911
351,3,0.778144
352,0,0.108897
353,2,0.511356
354,3,0.782272
355,0,0.003641
356,3,0.724520
357,1,0.305293
358,4,0.966967
359,1,0.389236
360,4,0.938055
361,1,0.281657
362,0,0.077142
363,3,0.746546
364,1,0.228366
