step,state,x
0,0,0.198823
1,2,0.512092
2,1,0.279499
3,2,0.468065
4,0,0.006406
5,1,0.348082
6,0,0.156036
7,2,0.472477
8,4,0.916895
9,1,0.217349
10,2,0.458874
11,3,0.685157
12,2,0.542809
13,0,0.115320
14,2,0.522511
15,1,0.289644
16,4,0.933527
17,1,0.319894
18,3,0.767750
19,0,0.116673
20,1,0.200449
21,3,0.738890
22,0,0.122883
23,4,0.970574
24,1,0.248083
25,3,0.715422
26,4,0.881843
27,0,0.091288
28,4,0.889196
29,1,0.343173
30,4,0.899902
31,3,0.603236
32,0,0.038903
33,2,0.589617
34,3,0.778561
35,2,0.530137
36,1,0.275875
37,4,0.816362
38,3,0.603221
39,2,0.483043
40,1,0.379365
41,2,0.492153
42,0,0.034813
43,3,0.612934
44,0,0.039215
45,1,0.335181
46,4,0.983346
47,2,0.443411
48,3,0.775422
49,0,0.180880
50,2,0.546751
51,3,0.694928
52,0,0.116469
53,3,0.629301
54,4,0.890542
55,2,0.579586
56,0,0.002077
57,2,0.570610
58,0,0.132796
59,3,0.714974
60,0,0.033440
61,3,0.605527
62,1,0.216572
63,2,0.450379
64,1,0.211654
65,3,0.602961
66,1,0.376871
67,0,0.056072
68,2,0.424629
69,0,0.150699
70,3,0.673459
71,2,0.597854
72,3,0.753689
73,1,0.361909
74,3,0.725110
75,0,0.112251
76,3,0.605710
77,2,0.523705
78,3,0.611647
79,4,0.891735
80,2,0.458123
81,1,0.237722
82,2,0.528079
83,1,0.266426
84,0,0.095981
85,2,0.401682
86,1,0.337685
87,2,0.530151
88,3,0.666543
89,1,0.309587
90,2,0.489555
91,1,0.253890
92,3,0.670493
93,0,0.042172
94,4,0.964295
95,3,0.740647
96,1,0.265726
97,2,0.499845
98,1,0.248346
99,2,0.509331
100,4,0.850832
101,0,0.070226
102,3,0.726136
103,1,0.328709
104,3,0.777970
105,4,0.870018
106,3,0.684972
107,4,0.800732
108,0,0.074495
109,2,0.539173
110,0,0.058421
111,4,0.891459
112,0,0.177767
113,3,0.746375
114,2,0.488688
115,1,0.311652
116,4,0.920232
117,1,0.344919
118,4,0.818690
119,0,0.091484
120,1,0.382486
121,3,0.617850
122,4,0.805520
123,2,0.477406
124,1,0.223511
125,4,0.941552
126,3,0.651834
127,1,0.251280
128,0,0.005338
129,3,0.742301
130,4,0.951926
131,2,0.425702
132,4,0.903482
133,1,0.228331
134,2,0.562986
135,0,0.085486
136,4,0.936436
137,2,0.501932
138,4,0.899764
139,1,0.356035
140,3,0.664184
141,2,0.434303
142,0,0.030883
143,3,0.634689
144,0,0.187510
145,4,0.916432
146,1,0.299747
147,0,0.049646
148,4,0.930787
149,3,0.760648
150,0,0.028759
151,4,0.945516
152,0,0.187098
153,1,0.310080
154,0,0.081220
155,1,0.229915
156,0,0.114520
157,2,0.550883
158,3,0.798388
159,1,0.230771
160,4,0.853769
161,3,0.746555
162,0,0.102235
163,4,0.827489
164,1,0.237374
165,4,0.957327
166,1,0.251515
167,2,0.503412
168,3,0.675085
169,4,0.879864
170,0,0.059233
171,2,0.520300
172,3,0.693684
173,2,0.405347
174,1,0.241362
175,0,0.190217
176,3,0.725462
177,2,0.440656
178,3,0.667267
179,4,0.805728
180,0,0.173555
181,1,0.310535
182,2,0.561702
183,4,0.906638
184,1,0.336830
185,4,0.956151
186,0,0.094809
187,2,0.486612
188,3,0.616997
189,2,0.558851
190,3,0.794048
191,2,0.583967
192,1,0.343058
193,3,0.739273
194,1,0.310070
195,3,0.613141
196,0,0.023932
197,3,0.724139
198,1,0.280888
199,3,0.731630
200,1,0.387980
