step,state,x
0,4,0.810191
1,0,0.130061
2,1,0.265403
3,2,0.439814
4,4,0.836176
5,1,0.207928
6,0,0.196490
7,3,0.601425
8,2,0.481076
9,3,0.747126
10,1,0.319919
11,0,0.174936
12,2,0.574538
13,0,0.063565
14,4,0.975099
15,1,0.282437
16,2,0.451015
17,4,0.996646
18,2,0.485907
19,0,0.123343
20,4,0.834189
21,0,0.053656
22,3,0.750783
23,2,0.553934
24,0,0.139556
25,1,0.347172
26,0,0.106443
27,3,0.787474
28,4,0.868444
29,0,0.063116
30,1,0.221454
31,3,0.752304
32,1,0.264172
33,0,0.135767
34,4,0.825732
35,1,0.381899
36,3,0.626258
37,4,0.930428
38,0,0.166027
39,2,0.574282
40,4,0.893752
41,1,0.201726
42,3,0.696199
43,0,0.041898
44,3,0.711676
45,2,0.520461
46,1,0.275060
47,4,0.873451
48,0,0.167939
49,1,0.322337
50,4,0.978937
51,1,0.353095
52,3,0.620593
53,0,0.010662
54,3,0.725765
55,1,0.342964
56,2,0.446584
57,1,0.393072
58,0,0.078997
59,4,0.806623
60,0,0.031582
61,3,0.629055
62,4,0.918903
63,2,0.496966
64,1,0.363010
65,3,0.784131
66,2,0.492691
67,0,0.037059
68,4,0.823855
69,1,0.257551
70,3,0.642970
71,0,0.054741
72,2,0.566818
73,1,0.375637
74,4,0.929269
75,0,0.027318
76,4,0.971493
77,1,0.364636
78,0,0.177645
79,2,0.466632
80,1,0.247143
81,2,0.547651
82,1,0.257178
83,4,0.917976
84,3,0.769995
85,2,0.440079
86,3,0.605236
87,0,0.041369
88,3,0.690933
89,2,0.542121
90,0,0.142192
91,3,0.705060
92,4,0.938544
93,2,0.456028
94,3,0.710217
95,1,0.220827
96,3,0.662402
97,4,0.933737
98,2,0.405015
99,1,0.239261
100,2,0.564135
101,3,0.683009
102,2,0.506956
103,3,0.716423
104,0,0.007138
105,4,0.941486
106,1,0.240831
107,3,0.786595
108,0,0.066459
109,1,0.361918
110,2,0.486312
111,0,0.020715
112,2,0.491233
113,4,0.961740
