step,state,x
0,4,0.978738
1,1,0.292429
2,4,0.975864
3,0,0.177146
4,1,0.244754
5,2,0.510072
6,0,0.035437
7,4,0.863003
8,2,0.555408
9,4,0.862370
10,0,0.183282
11,3,0.732758
12,4,0.827537
13,0,0.163037
14,4,0.922476
15,0,0.076111
16,2,0.492146
17,0,0.006381
18,4,0.905849
19,0,0.159436
20,3,0.750489
21,4,0.977936
22,1,0.329191
23,2,0.509317
24,4,0.834187
25,0,0.144964
26,2,0.400173
27,1,0.365952
28,3,0.647578
29,0,0.130788
30,2,0.451049
31,0,0.142799
32,3,0.655321
33,4,0.906238
34,1,0.360812
35,0,0.047708
36,4,0.862743
37,2,0.480789
38,0,0.126989
39,4,0.995509
40,0,0.037338
41,1,0.241256
42,3,0.791329
43,0,0.122344
44,1,0.258772
45,0,0.187490
46,2,0.429127
47,4,0.950395
48,2,0.482827
49,0,0.087898
50,1,0.307688
51,2,0.506400
52,4,0.800244
53,3,0.712112
54,2,0.476791
55,4,0.993987
56,3,0.691234
57,4,0.906576
58,2,0.427055
59,0,0.017176
60,1,0.393672
61,4,0.823303
62,0,0.199497
63,1,0.375743
64,3,0.692693
65,0,0.057067
66,1,0.285152
67,0,0.067726
68,1,0.389568
69,2,0.542521
70,0,0.040105
71,3,0.625967
72,1,0.383980
73,2,0.488263
74,0,0.104592
75,4,0.919447
76,3,0.615153
77,0,0.131235
78,2,0.504149
79,4,0.990264
80,2,0.463244
81,0,0.000784
82,3,0.605019
83,1,0.225546
84,4,0.887951
85,1,0.307977
86,0,0.193573
87,3,0.641970
88,2,0.403602
89,1,0.249338
90,0,0.175003
91,2,0.541742
92,0,0.161735
93,3,0.618915
94,4,0.839318
95,1,0.212816
96,3,0.641938
97,1,0.296067
98,4,0.903414
99,2,0.504584
100,4,0.977511
101,3,0.732311
102,0,0.116127
103,3,0.781403
104,1,0.317527
105,3,0.773605
106,0,0.121454
107,2,0.563714
108,4,0.968189
109,2,0.547835
110,3,0.617050
111,1,0.261461
112,4,0.946009
113,3,0.738812
114,2,0.462328
115,0,0.023798
116,2,0.448511
117,3,0.745731
118,0,0.031715
119,2,0.414996
120,0,0.082907
121,3,0.653017
122,1,0.270360
123,0,0.058644
124,1,0.313821
125,3,0.651967
126,0,0.049680
127,3,0.622352
128,0,0.143113
129,1,0.331262
130,3,0.637385
131,1,0.265850
132,3,0.659613
133,2,0.504756
134,4,0.898996
135,3,0.791457
136,1,0.299788
137,0,0.063667
138,3,0.767217
139,0,0.189610
140,1,0.266747
141,2,0.516040
142,4,0.898700
143,3,0.736884
144,0,0.173954
145,3,0.780351
146,1,0.357526
147,3,0.647349
148,0,0.118006
149,2,0.467933
150,1,0.362522
151,0,0.189661
152,2,0.536966
153,3,0.665917
154,2,0.480393
155,0,0.101096
156,4,0.818405
157,0,0.143477
158,4,0.830972
159,0,0.088756
160,1,0.330486
161,4,0.927070
162,3,0.647715
163,0,0.135269
164,4,0.838283
165,1,0.301070
166,0,0.140947
167,4,0.911022
168,2,0.517284
169,1,0.294344
170,0,0.117810
171,1,0.364284
172,3,0.765705
173,2,0.513287
174,1,0.327390
175,4,0.919031
176,2,0.401265
177,1,0.379712
178,0,0.099866
179,4,0.852595
180,3,0.752961
181,0,0.021938
182,1,0.261865
183,2,0.574830
184,0,0.125807
185,3,0.724476
186,1,0.312626
187,4,0.939198
188,2,0.513596
189,0,0.141364
190,4,0.889036
191,0,0.048085
192,4,0.840487
193,3,0.613952
194,2,0.576825
195,0,0.052545
196,1,0.331754
197,3,0.714765
198,4,0.905142
199,2,0.467117
200,1,0.290566
201,3,0.693932
202,1,0.251416
203,3,0.656693
204,4,0.835185
205,1,0.267119
206,0,0.193162
207,4,0.923709
208,2,0.436863
209,0,0.027697
210,2,0.415879
211,4,0.925205
212,3,0.601862
213,0,0.000499
214,1,0.338786
215,2,0.481038
216,3,0.769952
217,4,0.960100
218,2,0.423255
219,1,0.270981
220,3,0.608588
221,4,0.992713
222,3,0.708447
223,2,0.420688
224,4,0.849071
225,1,0.214802
226,3,0.727215
227,2,0.573575
228,0,0.040398
229,3,0.716102
230,2,0.431998
231,1,0.320186
232,3,0.753893
233,0,0.112955
234,3,0.771843
235,2,0.533497
236,3,0.626545
237,1,0.338331
238,4,0.966939
239,2,0.405878
240,4,0.950617
241,1,0.373466
242,3,0.616526
243,1,0.316474
244,4,0.893862
245,1,0.311855
246,0,0.129626
247,2,0.560232
248,1,0.230594
249,4,0.821449
250,1,0.298251
251,4,0.936491
252,1,0.308780
253,0,0.138676
254,3,0.675664
255,2,0.508291
256,0,0.080742
257,2,0.501894
258,0,0.016727
259,1,0.319977
260,4,0.973188
261,3,0.622679
262,0,0.189662
263,3,0.656178
264,1,0.374309
265,3,0.732475
266,1,0.358638
267,2,0.441852
268,3,0.611972
269,4,0.859083
270,3,0.742574
271,1,0.295835
272,0,0.048591
273,1,0.271303
274,2,0.578920
275,0,0.054886
276,3,0.601742
277,2,0.539942
278,3,0.799566
279,4,0.801910
280,1,0.374351
281,0,0.141174
282,4,0.805222
283,1,0.347266
284,2,0.507848
285,3,0.670363
286,2,0.564605
287,4,0.857178
288,1,0.380726
289,2,0.580039
290,1,0.322624
291,3,0.687233
292,0,0.128133
293,2,0.440767
294,1,0.325880
295,3,0.704922
296,1,0.388842
297,0,0.100980
298,1,0.358384
299,4,0.808036
300,2,0.439196
301,1,0.392279
302,0,0.120202
303,4,0.835377
304,1,0.230922
305,3,0.671206
306,4,0.884375
307,1,0.350421
308,4,0.814453
309,0,0.113447
310,1,0.266150
311,3,0.745599
312,1,0.390037
313,2,0.574731
314,3,0.787434
315,1,0.317798
316,4,0.884420
317,1,0.339200
318,0,0.042404
319,1,0.308943
320,4,0.971636
321,2,0.543030
322,4,0.955193
323,1,0.279771
324,0,0.100374
325,4,0.914101
326,0,0.005780
327,1,0.390827
328,0,0.122411
329,4,0.934179
330,2,0.525146
331,1,0.270618
332,2,0.418485
333,1,0.267337
334,3,0.753210
335,0,0.182369
336,3,0.745281
337,2,0.502603
338,0,0.052007
339,4,0.880722
340,3,0.764665
341,1,0.347887
342,4,0.837088
343,1,0.346422
344,2,0.456481
345,3,0.666223
346,0,0.110372
347,1,0.261175
348,0,0.001435
349,2,0.480532
350,0,0.055750
351,4,0.839371
352,0,0.052302
353,3,0.659081
354,0,0.186239
355,2,0.534271
356,0,0.153609
357,1,0.283113
358,2,0.463610
359,0,0.116615
360,3,0.777394
361,4,0.923043
362,0,0.015669
363,3,0.742005
364,0,0.075303
365,2,0.525781
366,3,0.753873
367,2,0.444418
368,1,0.392989
369,2,0.583011
370,0,0.012747
371,1,0.366945
372,3,0.749061
373,4,0.827070
374,1,0.320983
375,0,0.121951
376,2,0.545049
377,4,0.857319
378,2,0.516050
379,3,0.792991
380,0,0.015447
381,2,0.533496
382,4,0.994109
383,1,0.380835
384,0,0.124689
385,4,0.965002
386,0,0.175058
387,4,0.805854
388,3,0.724779
389,1,0.386075
390,2,0.536747
391,1,0.293459
392,2,0.502278
393,3,0.639564
394,1,0.348557
395,3,0.773667
396,4,0.929780
397,0,0.166411
398,1,0.373757
399,3,0.672326
400,1,0.383506
401,0,0.151129
402,4,0.994717
403,2,0.446810
404,1,0.213489
405,3,0.750896
406,0,0.129979
407,4,0.836539
408,3,0.726087
409,2,0.582216
410,4,0.988722
411,1,0.222592
412,2,0.410514
413,4,0.832026
414,0,0.059405
415,1,0.329175
416,4,0.882900
417,3,0.604232
418,0,0.022819
419,3,0.701873
420,4,0.924265
421,1,0.210615
422,4,0.951818
423,1,0.242940
424,4,0.980097
425,0,0.081682
426,4,0.947643
427,3,0.787608
428,4,0.930038
429,1,0.229194
430,3,0.607213
431,2,0.524998
432,4,0.940823
433,1,0.232441
434,4,0.880316
435,1,0.392720
436,2,0.400223
437,1,0.284566
438,3,0.717493
439,4,0.948316
440,1,0.366404
441,4,0.873572
442,0,0.126020
443,1,0.261178
444,4,0.951309
445,3,0.756868
446,4,0.984434
447,1,0.349801
448,4,0.880426
449,2,0.583148
450,0,0.022475
451,3,0.683165
452,4,0.969547
453,3,0.767273
454,4,0.850484
455,2,0.477110
456,1,0.390364
457,4,0.978840
458,2,0.409907
459,4,0.857166
460,0,0.057301
461,1,0.351972
462,0,0.106040
463,1,0.274810
464,3,0.623860
465,2,0.583614
466,3,0.734868
467,2,0.472839
468,1,0.378766
469,2,0.422375
470,3,0.699006
471,0,0.117965
472,2,0.519127
473,0,0.190869
474,2,0.573886
475,1,0.371794
476,3,0.708128
477,4,0.890370
478,0,0.190567
479,2,0.454261
480,4,0.877633
481,0,0.183320
482,2,0.418791
483,3,0.683768
484,4,0.871614
485,1,0.336405
486,4,0.866486
487,3,0.711211
488,1,0.276599
489,3,0.659704
490,0,0.172426
491,1,0.308185
492,4,0.936612
493,2,0.591626
494,1,0.385724
495,3,0.715930
496,4,0.867355
497,1,0.232541
498,0,0.119567
499,3,0.672318
