step	state	x
0	4	1.031325
1	3	0.608481
2	0	0.323539
3	4	1.187106
4	2	0.714536
5	0	0.258519
6	4	1.154839
7	2	0.447865
8	1	0.320595
9	2	0.767947
10	4	1.147204
11	4	1.129970
12	4	1.019148
13	4	1.180735
14	0	0.087672
15	2	0.405967
16	4	1.066095
17	2	0.591023
18	4	1.056777
19	4	1.040716
20	1	0.314840
21	4	1.042607
22	4	0.819314
23	3	0.794119
24	1	0.255538
25	4	1.094620
26	4	1.036159
27	0	0.317041
28	4	1.073910
29	4	0.981482
30	4	1.139868
31	1	0.550323
32	4	1.051724
33	4	0.879244
34	4	0.963116
35	4	1.127429
36	4	0.971318
37	0	0.307572
38	3	0.617498
39	2	0.796560
40	4	0.822223
41	4	1.149584
42	4	0.941812
43	2	0.644040
44	0	0.343671
45	4	1.192198
46	2	0.476148
47	4	1.120160
48	2	0.522409
49	4	0.999286
50	2	0.760853
51	4	0.947243
52	1	0.209612
53	4	0.945841
54	0	0.244817
55	3	0.831674
56	2	0.531357
57	4	1.041506
58	4	1.167599
59	3	0.968617
60	1	0.558010
61	4	0.891148
62	4	0.979314
63	0	0.267318
64	4	1.189116
65	3	0.836653
66	4	1.182727
67	1	0.476580
68	4	0.805302
69	4	0.813794
70	1	0.471256
71	4	1.147732
72	4	0.905160
73	4	0.968699
74	2	0.758608
75	4	0.988369
76	0	0.002945
77	4	1.117636
78	3	0.960958
79	1	0.269963
80	4	0.878473
81	3	0.886455
82	0	0.228470
83	4	0.909327
84	3	0.647661
85	4	0.927205
86	4	1.130354
87	3	0.829411
88	0	0.030051
89	2	0.505616
90	4	1.015530
91	4	1.116547
92	4	0.939634
93	4	1.015375
94	4	0.819631
95	2	0.710129
96	4	0.882283
97	2	0.637507
98	0	0.226376
99	1	0.349443
100	2	0.544497
101	4	1.165075
102	4	1.077049
103	1	0.367222
104	3	0.861308
105	0	0.033286
106	2	0.722932
107	4	1.148301
108	3	0.966940
109	2	0.498212
110	4	1.061501
111	4	1.108561
112	4	1.149362
113	4	0.995876
114	4	1.000901
115	4	0.866204
116	1	0.595358
117	4	1.024164
118	4	0.823284
119	3	0.919422
120	4	0.842454
121	4	0.882311
122	4	0.867749
123	0	0.355006
124	4	0.930450
125	4	1.173221
126	4	1.071783
127	2	0.521446
128	4	0.831480
129	4	1.090894
130	4	1.131697
131	4	0.810257
132	4	0.921642
133	4	0.926011
134	2	0.770797
135	4	1.003509
136	3	0.790274
137	4	1.154949
138	4	0.884475
139	4	0.860260
140	4	1.186595
141	4	0.873418
142	4	0.811442
143	0	0.120169
144	2	0.493938
145	4	0.964194
146	4	1.045326
147	4	0.858001
148	2	0.467109
149	1	0.378550
150	4	0.861898
151	1	0.226986
152	3	0.805182
