step	state	x
0	4	0.915048
1	4	1.067618
2	4	0.941091
3	4	1.097449
4	4	0.987458
5	1	0.511585
6	2	0.706077
7	4	0.862564
8	4	1.043564
9	4	0.900046
10	1	0.322538
11	4	1.139148
12	0	0.227075
13	4	1.071003
14	1	0.536287
15	0	0.155691
16	1	0.280246
17	4	1.005656
18	4	1.102179
19	4	0.906482
20	4	1.160689
21	4	0.986609
22	2	0.722677
23	4	1.068270
24	2	0.526858
25	4	1.055936
26	0	0.053345
27	4	0.858473
28	0	0.264449
29	1	0.261953
30	4	0.804422
31	4	0.855749
32	4	1.127910
33	0	0.182162
34	4	1.011928
35	2	0.650318
36	4	0.905818
37	4	0.868795
38	4	1.075741
39	3	0.652175
40	2	0.786427
41	4	1.177651
42	4	0.868838
43	2	0.726317
44	4	0.808338
45	2	0.532652
46	4	0.960309
47	4	1.024161
48	4	1.103220
49	0	0.209042
50	4	0.924706
51	4	1.069937
52	0	0.019687
53	2	0.773451
54	4	1.010156
55	4	0.863996
56	4	1.041359
57	4	0.909963
58	4	1.191221
59	4	0.978124
60	2	0.689640
61	0	0.280128
62	4	0.925298
63	3	0.717465
64	4	1.055063
65	4	0.928775
66	4	0.932411
67	4	1.044547
68	4	1.025806
69	4	0.987879
70	4	1.046187
71	3	0.953276
72	4	1.198911
73	4	0.958798
74	4	1.183616
75	2	0.573750
76	4	1.053784
77	4	0.965382
78	1	0.495238
79	0	0.375692
80	4	1.182496
81	3	0.950349
82	1	0.521423
83	4	0.921405
84	4	1.131728
85	1	0.527950
86	2	0.693134
87	4	0.888197
88	1	0.551089
89	4	0.927843
90	4	1.165318
91	1	0.466809
92	4	1.018815
93	4	1.112247
94	0	0.374975
95	4	1.129546
96	0	0.182831
97	4	0.975282
98	3	0.641298
99	0	0.356123
100	2	0.482952
101	1	0.377388
102	4	1.078389
103	2	0.702945
104	1	0.243832
105	4	1.096132
106	4	1.133071
107	0	0.343024
108	4	0.866125
109	4	1.048420
110	3	0.832471
111	4	0.838495
112	4	1.022367
113	4	0.848820
114	4	1.024989
115	4	1.072087
116	4	0.966277
117	4	1.181499
118	0	0.114261
119	4	1.099343
120	2	0.609055
121	4	1.096778
122	4	0.815671
123	3	0.719182
124	4	0.921385
125	0	0.239671
126	4	1.184122
127	4	0.881682
128	4	1.044983
129	4	0.842603
130	4	0.926270
131	0	0.342949
132	2	0.402779
133	4	1.000499
134	4	0.916035
135	1	0.228418
136	4	0.993003
137	4	1.175560
138	4	1.147416
139	4	0.990150
140	4	0.963869
141	3	0.683807
142	4	1.025698
143	4	0.819994
144	4	0.868917
145	1	0.233283
146	4	1.189021
147	4	0.843548
148	3	0.706070
149	4	0.845952
150	4	1.095541
151	4	0.932931
152	0	0.028467
153	2	0.480433
154	4	1.063426
155	4	0.985371
156	4	0.926339
157	4	0.916777
158	4	0.903674
159	3	0.630909
160	1	0.255139
161	4	1.007838
162	4	0.900793
163	0	0.168772
164	3	0.960389
165	2	0.675208
166	4	1.187074
167	2	0.420892
168	3	0.709519
169	1	0.404832
170	4	0.950527
171	0	0.008392
172	1	0.379447
173	4	0.857473
174	4	1.119014
175	1	0.423864
176	3	0.992776
177	4	1.183582
178	4	0.845158
179	0	0.159518
180	1	0.266751
181	0	0.250145
182	4	0.953097
183	2	0.758450
184	4	0.955243
185	2	0.756731
186	4	1.105936
187	4	1.012245
188	2	0.417539
189	3	0.693713
190	4	0.988241
191	4	1.063955
192	0	0.094265
193	4	1.016583
194	4	1.041832
195	1	0.223498
196	2	0.414939
197	4	0.888147
198	4	1.006599
199	4	1.196980
200	3	0.894449
201	2	0.775455
202	4	0.821038
203	0	0.240227
204	4	1.020836
205	0	0.099261
206	4	0.813022
207	4	1.199263
208	4	0.906464
209	4	0.922026
210	2	0.702972
211	3	0.768805
212	4	1.115372
213	2	0.751873
214	4	0.810790
215	4	1.064368
216	1	0.550756
217	4	0.936147
218	3	0.929107
219	0	0.258429
220	4	1.049624
221	0	0.117171
222	4	1.193957
223	0	0.248024
224	4	1.148017
225	2	0.677068
226	4	0.935058
227	4	1.196039
228	0	0.124444
229	4	1.199753
230	3	0.768890
231	4	0.903609
232	1	0.561290
233	0	0.360229
234	3	0.858910
235	4	0.968766
236	4	0.871878
237	4	0.896760
238	3	0.799780
239	2	0.478681
240	4	0.848296
241	4	1.029012
242	2	0.601996
243	1	0.566854
244	4	0.964268
245	1	0.519483
246	4	0.987906
247	2	0.561951
248	4	1.030704
249	4	0.864684
250	2	0.797643
251	4	1.051843
252	4	0.995272
253	2	0.658159
254	4	1.068852
255	4	0.917073
256	4	1.146014
257	4	0.878466
258	3	0.658743
259	4	1.190642
260	4	1.128185
261	1	0.538032
262	2	0.684241
263	4	0.806134
264	4	0.923978
265	0	0.355543
266	4	1.004087
267	0	0.201825
268	3	0.873648
269	1	0.368864
270	4	1.053852
271	4	0.966868
272	2	0.506634
273	4	0.907337
274	4	0.909681
275	0	0.354686
276	4	1.062640
277	2	0.505194
278	3	0.820365
279	2	0.506392
280	3	0.899713
281	4	0.935812
282	2	0.580881
283	1	0.592777
284	0	0.108972
285	4	0.802270
286	4	1.119232
287	4	1.067651
288	4	0.855938
289	2	0.588125
290	4	1.146148
291	4	1.124719
292	4	0.971025
293	1	0.221395
294	3	0.854507
295	0	0.017671
296	4	1.140997
297	0	0.203158
298	4	1.119683
299	3	0.821549
300	4	0.888066
301	1	0.545889
302	4	0.981044
303	2	0.681784
304	4	1.057600
305	4	1.038941
306	0	0.031195
307	4	0.976693
308	4	1.085371
309	4	1.012138
310	2	0.655998
311	0	0.166113
312	3	0.795845
313	4	0.898975
314	4	1.128789
315	4	0.849899
316	4	0.927399
317	4	1.154543
318	1	0.379292
319	4	1.135011
320	4	1.188888
321	4	0.916949
322	4	0.882633
323	3	0.722918
324	1	0.529244
325	4	0.915288
326	4	1.136352
327	0	0.044534
328	1	0.212400
329	2	0.741643
330	3	0.967641
331	2	0.795683
332	4	1.072871
333	4	0.968856
334	4	0.894557
335	0	0.023699
336	4	0.903656
337	4	1.044926
338	4	1.057963
339	4	0.987680
340	4	1.093249
341	3	0.915825
342	4	0.883620
343	1	0.474533
344	3	0.843436
345	4	1.096900
346	4	0.935168
347	3	0.757420
348	0	0.378453
349	4	0.858082
350	3	0.765467
351	4	1.135924
352	4	1.135565
353	1	0.426486
354	4	1.040169
355	4	1.187563
356	4	1.146518
357	0	0.015790
358	4	0.812392
359	4	1.167381
360	4	1.163528
361	4	1.137327
362	4	1.021197
363	1	0.451741
364	3	0.663022
365	4	0.938350
366	4	1.059931
367	3	0.641364
368	4	1.174720
369	4	0.872352
370	4	0.929654
371	4	1.140206
372	1	0.547853
373	4	1.066463
374	3	0.658538
375	1	0.277110
376	4	1.181620
377	4	1.153068
378	3	0.638658
379	4	1.157318
380	1	0.282958
381	3	0.748497
382	0	0.191185
383	4	0.824058
384	0	0.081624
385	4	0.822562
386	4	0.819823
387	4	0.937583
388	4	1.065484
389	0	0.034499
390	4	0.835305
391	0	0.334567
392	1	0.467838
393	4	1.165889
394	0	0.061601
395	1	0.242090
396	3	0.943346
397	4	0.951651
398	4	1.032183
399	4	0.958154
400	0	0.190225
401	4	0.833586
402	4	0.896799
403	4	1.066134
404	3	0.731206
405	4	1.079097
406	4	0.961959
